NAME,ADDRESS,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,X,Y, , , , , , , , , , , , , , , , , , , , , , 
WALGREENS - 11729,327 MAIN STREET,DUNKIRK,NY,14048,2718,CHAUTAUQUA,36013,-79.32897,42.484466, , , , , , , , , , , , , , , , , , , , , , 
PARKSIDE PHARMACY,975 BROADWAY STREET,BUFFALO,NY,14212,1317,ERIE,36029,-78.83852,42.892918, , , , , , , , , , , , , , , , , , , , , , 
RITE AID - 675,4018 SENECA STREET,WEST SENECA,NY,14224,3413,ERIE,36029,-78.754368,42.830661, , , , , , , , , , , , , , , , , , , , , , 
RITE AID - 4672,9062 ERIE ROAD,ANGOLA,NY,14006,8824,ERIE,36029,-79.049133,42.638124, , , , , , , , , , , , , , , , , , , , , , 
PARKVIEW HEALTH SERVICES,1770 COLVIN BOULEVARD,BUFFALO,NY,14223,1108,ERIE,36029,-78.853662,42.987099, , , , , , , , , , , , , , , , , , , , , , 
TARGET,1575 NIAGARA FALLS BOULEVARD,AMHERST,NY,14228,2704,ERIE,36029,-78.818403,42.99794, , , , , , , , , , , , , , , , , , , , , , 
RITE AID - 4969,3050 UNION ROAD,ORCHARD PARK,NY,14127,1215,ERIE,36029,-78.752733,42.802371, , , , , , , , , , , , , , , , , , , , , , 
CVS - 5087,19 SOUTH MAIN STREET,JAMESTOWN,NY,14701,6636,CHAUTAUQUA,36013,-79.238585,42.093586, , , , , , , , , , , , , , , , , , , , , , 
BAILEY PRESCRIPTION CENTER HEALTH MART PHARMACY,2608 BAILEY AVENUE,BUFFALO,NY,14215,3246,ERIE,36029,-78.813906,42.925578, , , , , , , , , , , , , , , , , , , , , , 
WALGREENS - 5610,3605 SHERIDAN DRIVE,AMHERST,NY,14226,1632,ERIE,36029,-78.800273,42.978989, , , , , , , , , , , , , , , , , , , , , , 
WALGREENS - 9717,6785 TRANSIT ROAD,EAST AMHERST,NY,14051,1303,ERIE,36029,-78.69615,43.033867, , , , , , , , , , , , , , , , , , , , , , 
SAM'S CLUB - 6673,3735 UNION ROAD,CHEEKTOWAGA,NY,14225,4200,ERIE,36029,-78.750491,42.915254, , , , , , , , , , , , , , , , , , , , , , 
WALGREENS - 11142,9217 MAIN STREET,CLARENCE,NY,14031,1960,ERIE,36029,-78.647436,42.969145, , , , , , , , , , , , , , , , , , , , , , 
RITE AID - 10838,2561 UNION ROAD,CHEEKTOWAGA,NY,14227,2205,ERIE,36029,-78.753124,42.881925, , , , , , , , , , , , , , , , , , , , , , 
RITE AID - 10836,2401 GENESEE STREET,CHEEKTOWAGA,NY,14225,2805,ERIE,36029,-78.794253,42.91931, , , , , , , , , , , , , , , , , , , , , , 
RITE AID - 10861,4433 DEWEY AVENUE,ROCHESTER,NY,14616,1223,MONROE,36055,-77.64746,43.252418, , , , , , , , , , , , , , , , , , , , , , 
RITE AID - 10830,2175 SOUTH PARK AVENUE,BUFFALO,NY,14220,2231,ERIE,36029,-78.824224,42.839448, , , , , , , , , , , , , , , , , , , , , , 
RITE AID - 1500,6000 TRANSIT ROAD,DEPEW,NY,14043,1530,ERIE,36029,-78.697802,42.918997, , , , , , , , , , , , , , , , , , , , , , 
RITE AID - 10860,1490 LAKE AVENUE,ROCHESTER,NY,14615,3041,MONROE,36055,-77.627975,43.193626, , , , , , , , , , , , , , , , , , , , , , 
CVS - 653,1370 NORTON STREET,ROCHESTER,NY,14621,3936,MONROE,36055,-77.585521,43.187826, , , , , , , , , , , , , , , , , , , , , , 
CVS - 592,2100 MONROE AVENUE,ROCHESTER,NY,14618,2408,MONROE,36055,-77.560946,43.123848, , , , , , , , , , , , , , , , , , , , , , 
WEGMANS,651 DICK ROAD,DEPEW,NY,14043,1821,ERIE,36029,-78.736343,42.920917, , , , , , , , , , , , , , , , , , , , , , 
UNIVERSITY OF ROCHESTER MEDICAL CENTER SURGERY CENTER,180 SAWGRASS DRIVE,ROCHESTER,NY,14620,4648,MONROE,36055,-77.609085,43.114117, , , , , , , , , , , , , , , , , , , , , , 
WEGMANS,4960 TRANSIT ROAD,DEPEW,NY,14043,4616,ERIE,36029,-78.700144,42.881687, , , , , , , , , , , , , , , , , , , , , , 
TARGET,3181 CHILI AVENUE,ROCHESTER,NY,14624,5409,MONROE,36055,-77.746795,43.104251, , , , , , , , , , , , , , , , , , , , , , 
WEGMANS,3740 MCKINLEY PARKWAY,BUFFALO,NY,14219,2660,ERIE,36029,-78.8124,42.782955, , , , , , , , , , , , , , , , , , , , , , 
RITE AID - 10867,2050 CHILI AVENUE,ROCHESTER,NY,14624,3424,MONROE,36055,-77.687097,43.132554, , , , , , , , , , , , , , , , , , , , , , 
BROOKS PHARMACY,4481 LAKE SHORE ROAD,HAMBURG,NY,14075,2404,ERIE,36029,-78.879152,42.762102, , , , , , , , , , , , , , , , , , , , , , 
TOPS,285 UPPER FALLS BOULEVARD,ROCHESTER,NY,14605,2184,MONROE,36055,-77.609589,43.169883, , , , , , , , , , , , , , , , , , , , , , 
HOLLAND PHARMACY INCORPORATED,19 NORTH MAIN STREET,HOLLAND,NY,14080,9509,ERIE,36029,-78.542073,42.641439, , , , , , , , , , , , , , , , , , , , , , 
ANTHONY BROWN HEALTH MART PHARMACY,4328 SOUTH BUFFALO STREET,ORCHARD PARK,NY,14127,2638,ERIE,36029,-78.744465,42.765574, , , , , , , , , , , , , , , , , , , , , , 
MILLERS PHARMACY,201 SCOTTSVILLE WEST HENRIETTA ROAD,WEST HENRIETTA,NY,14586,9540,MONROE,36055,-77.707685,43.035709, , , , , , , , , , , , , , , , , , , , , , 
HIGHLAND SOUTH WEDGE PHARMACY,777 SOUTH CLINTON AVENUE,ROCHESTER,NY,14620,1401,MONROE,36055,-77.599193,43.142154, , , , , , , , , , , , , , , , , , , , , , 
WAL-MART SUPERCENTER - 2859,2150 CHILI AVENUE,ROCHESTER,NY,14624,3453,MONROE,36055,-77.689,43.133774, , , , , , , , , , , , , , , , , , , , , , 
WAL-MART - 1744,1902 EMPIRE BOULEVARD,WEBSTER,NY,14580,1959,MONROE,36055,-77.498147,43.190429, , , , , , , , , , , , , , , , , , , , , , 
TOPS,128 WEST MAIN STREET,LE ROY,NY,14482,1300,GENESEE,36037,-78.004736,42.979791, , , , , , , , , , , , , , , , , , , , , , 
RITE AID - 10817,459 SOUTH TRANSIT STREET,LOCKPORT,NY,14094,5506,NIAGARA,36063,-78.697787,43.154501, , , , , , , , , , , , , , , , , , , , , , 
RITE AID - 1597,125 SOUTH TRANSIT STREET,LOCKPORT,NY,14094,4834,NIAGARA,36063,-78.697373,43.164102, , , , , , , , , , , , , , , , , , , , , , 
RITE AID - 1538,731 CENTER STREET,LEWISTON,NY,14092,1705,NIAGARA,36063,-79.037891,43.171709, , , , , , , , , , , , , , , , , , , , , , 
RITE AID - 10855,985 RIDGE ROAD,WEBSTER,NY,14580,2905,MONROE,36055,-77.460015,43.208136, , , , , , , , , , , , , , , , , , , , , , 
TOPS,1900 CLINTON AVENUE SOUTH,ROCHESTER,NY,14618,5621,MONROE,36055,-77.592192,43.121157, , , , , , , , , , , , , , , , , , , , , , 
CVS - 589,955 PAYNE AVENUE,NORTH TONAWANDA,NY,14120, ,NIAGARA,36063,-78.876768,43.05061, , , , , , , , , , , , , , , , , , , , , , 
RITE AID - 1913,214 LOCKPORT STREET,YOUNGSTOWN,NY,14174,1008,NIAGARA,36063,-79.047499,43.251041, , , , , , , , , , , , , , , , , , , , , , 
WAL-MART SUPERCENTER - 1909,1540 MILITARY ROAD,NIAGARA FALLS,NY,14304,4704,NIAGARA,36063,-78.978899,43.094235, , , , , , , , , , , , , , , , , , , , , , 
RITE AID - 416,151 WEST MAIN STREET,LEROY,NY,14482,1317,GENESEE,36037,-78.006482,42.977519, , , , , , , , , , , , , , , , , , , , , , 
UPSTATE PHARMACY,40 NORTH AMERICA DRIVE,WEST SENECA,NY,14224,2225,ERIE,36029,-78.75078,42.847995, , , , , , , , , , , , , , , , , , , , , , 
FAMILY MEDICAL PHARMACY,120 PLAZA DRIVE,WILLIAMSVILLE,NY,14221,2345,ERIE,36029,-78.740985,43.001238, , , , , , , , , , , , , , , , , , , , , , 
UNION MEDICAL PHARMACY,1769 ORCHARD PARK ROAD,WEST SENECA,NY,14224,4624,ERIE,36029,-78.756474,42.804293, , , , , , , , , , , , , , , , , , , , , , 
AMERICAN HOMEPATIENT,435 LAWRENCE BELL DRIVE,WILLIAMSVILLE,NY,14221,7806,ERIE,36029,-78.709466,42.952213,NY, , , , , , , , , , , , , , , , , , , , , 
CORAM SPECIALTY INFUSION SERVICES,375 NORTH FRENCH ROAD,AMHERST,NY,14228,2009,ERIE,36029,-78.810386,43.034039, , , , , , , , , , , , , , , , , , , , , , 
WALGREENS - 3438,1202 PINE AVENUE,NIAGARA FALLS,NY,14301,1918,NIAGARA,36063,-79.047708,43.095129, , , , , , , , , , , , , , , , , , , , , , 
WILSON COMMUNITY PHARMACY,272 PETTIT STREET,WILSON,NY,14172,9696,NIAGARA,36063,-78.827318,43.30976, , , , , , , , , , , , , , , , , , , , , , 
WAL-MART - 2107,5783 SOUTH TRANSIT ROAD,LOCKPORT,NY,14094,5811,NIAGARA,36063,-78.693658,43.143843, , , , , , , , , , , , , , , , , , , , , , 
TOPS,301 MEADOW DRIVE,NORTH TONAWANDA,NY,14120,2819,NIAGARA,36063,-78.874509,43.050686, , , , , , , , , , , , , , , , , , , , , , 
WAL-MART SUPERCENTER - 1673,4238 RECREATION DRIVE,CANANDAIGUA,NY,14424,2235,ONTARIO,36069,-77.239873,42.876205, , , , , , , , , , , , , , , , , , , , , , 
RITE AID - 1912,3987 LOCKPORT OLCOTT ROAD,LOCKPORT,NY,14094,1132,NIAGARA,36063,-78.676147,43.219325, , , , , , , , , , , , , , , , , , , , , , 
OMNICARE PHARMACY OF WESTERN NEW YORK,2410 NORTH AMERICA DRIVE,WEST SENECA,NY,14224,5315,ERIE,36029,-78.736611,42.849439, , , , , , , , , , , , , , , , , , , , , , 
PHARMHEALTH INFUSION,172 ALEXANDER STREET,ROCHESTER,NY,14607,3606,MONROE,36055,-77.597995,43.147628, , , , , , , , , , , , , , , , , , , , , , 
ASSOCIATED HEALTHCARE PHARMACY,1031 MAIN STREET,BUFFALO,NY,14203,1014,ERIE,36029,-78.868611,42.902029, , , , , , , , , , , , , , , , , , , , , , 
WALGREENS - 10380,18 EASTERN BOULEVARD,CANANDAIGUA,NY,14424,2219,ONTARIO,36069,-77.268186,42.878896, , , , , , , , , , , , , , , , , , , , , , 
WEGMANS,3195 MONROE AVENUE,ROCHESTER,NY,14618,4605,MONROE,36055,-77.543403,43.106546, , , , , , , , , , , , , , , , , , , , , , 
HOLLEY PHARMACY,3 GEDDES STREET EXTENSION,HOLLEY,NY,14470,1122,ORLEANS,36073,-78.022996,43.224746, , , , , , , , , , , , , , , , , , , , , , 
WEGMANS,745 CALKINS ROAD,ROCHESTER,NY,14623,4435,MONROE,36055,-77.612083,43.067014, , , , , , , , , , , , , , , , , , , , , , 
UPSTATE HOMECARE,354 CAYUGA ROAD,BUFFALO,NY,14225,1945,ERIE,36029,-78.744905,42.93906, , , , , , , , , , , , , , , , , , , , , , 
UNITED STATES DEPARTMENT OF VETERAN AFFAIRS ROCHESTER COMMUNITY BASED OUTPATIENT CLINIC,465 WESTFALL ROAD,ROCHESTER,NY,14620,4645,MONROE,36055,-77.606379,43.11428, , , , , , , , , , , , , , , , , , , , , , 
CVS - 5074,100 EAST NAPLES STREET,WAYLAND,NY,14572,1108,STEUBEN,36101,-77.589122,42.568197, , , , , , , , , , , , , , , , , , , , , , 
FARIS PHARMACY,2050 LATTA ROAD,ROCHESTER,NY,14612,3734,MONROE,36055,-77.666565,43.253769, , , , , , , , , , , , , , , , , , , , , , 
WALGREENS - 10218,226 LIBERTY STREET,PENN YAN,NY,14527,1647,YATES,36123,-77.056658,42.660168, , , , , , , , , , , , , , , , , , , , , , 
NIAGARA APOTHECARY HEALTH MART PHARMACY,8745 NIAGARA FALLS BOULEVARD,NIAGARA FALLS,NY,14304,1947,NIAGARA,36063,-78.961406,43.092022, , , , , , , , , , , , , , , , , , , , , , 
RITE AID - 442,138 ELM STREET,PENN YAN,NY,14527,1412,YATES,36123,-77.055451,42.660198, , , , , , , , , , , , , , , , , , , , , , 
METCARE RX,480 GENESEE STREET,ROCHESTER,NY,14611,3634,MONROE,36055,-77.635757,43.140692, , , , , , , , , , , , , , , , , , , , , , 
RITE AID - 2783,281-285 MAIN STREET,GENEVA,NY,14456,2603,ONTARIO,36069,-76.984626,42.867704, , , , , , , , , , , , , , , , , , , , , , 
LIFETIME PHARMACY,2975 BRIGHTON HENRIETTA TOWN LINE ROAD,ROCHESTER,NY,14623,2787,MONROE,36055,-77.596364,43.093863, , , , , , , , , , , , , , , , , , , , , , 
TARGET,7500 COMMONS BOULEVARD,VICTOR,NY,14564,1010,ONTARIO,36069,-77.448049,43.03399, , , , , , , , , , , , , , , , , , , , , , 
WAL-MART SUPERCENTER - 3842,425 STATE ROUTE 31,MACEDON,NY,14502,9108,WAYNE,36117,-77.357924,43.066397, , , , , , , , , , , , , , , , , , , , , , 
WALGREENS - 11904,8 WEST MAIN STREET,LE ROY,NY,14482,1312,GENESEE,36037,-77.993025,42.978191, , , , , , , , , , , , , , , , , , , , , , 
RITE AID - 4967,5651 WHISKEY HILL ROAD,WOLCOTT,NY,14590,9379,WAYNE,36117,-76.814873,43.208157, , , , , , , , , , , , , , , , , , , , , , 
RITE AID - 10806,4155 WEST MAIN STREET ROAD,BATAVIA,NY,14020,1240,GENESEE,36037,-78.206493,43.006273, , , , , , , , , , , , , , , , , , , , , , 
RITE AID - 10856,4061 ROUTE 104,WILLIAMSON,NY,14589,9554,WAYNE,36117,-77.187834,43.233431, , , , , , , , , , , , , , , , , , , , , , 
BATAVIA VETERANS ADMINISTRATION MEDICAL CENTER,222 RICHMOND AVENUE,BATAVIA,NY,14020,1227,GENESEE,36037,-78.197733,43.013361, , , , , , , , , , , , , , , , , , , , , , 
LIFETIME HEALTH MEDICAL GROUP,120 GARDENVILLE PARKWAY WEST,WEST SENECA,NY,14224, ,ERIE,36029,-78.759391,42.863959, , , , , , , , , , , , , , , , , , , , , , 
MEDICAL PARK PHARMACY,550 ORCHARD PARK ROAD,WEST SENECA,NY,14224,2646,ERIE,36029,-78.779013,42.833341, , , , , , , , , , , , , , , , , , , , , , 
SUMMIT PARK PHARMACY,2578 NIAGARA FALLS BOULEVARD,NIAGARA FALLS,NY,14304,4683,NIAGARA,36063,-78.907402,43.091847, , , , , , , , , , , , , , , , , , , , , , 
WEGMANS,1577 MILITARY ROAD,NIAGARA FALLS,NY,14304,4705,NIAGARA,36063,-78.969789,43.094967, , , , , , , , , , , , , , , , , , , , , , 
THE DRUG SHOPPE,525 DIVISION STREET,NORTH TONAWANDA,NY,14120,4403,NIAGARA,36063,-78.861194,43.037498, , , , , , , , , , , , , , , , , , , , , , 
THE MEDICINE SHOPPE PHARMACY,1806 PINE AVENUE,NIAGARA FALLS,NY,14301,2234,NIAGARA,36063,-79.039837,43.09777, , , , , , , , , , , , , , , , , , , , , , 
DEGRAFF MEMORIAL HOSPITAL,445 TREMONT STREET,NORTH TONAWANDA,NY,14120,6150,NIAGARA,36063,-78.8623,43.025684, , , , , , , , , , , , , , , , , , , , , , 
RITE AID - 614,2918 DEWEY AVENUE,ROCHESTER,NY,14616,4634,MONROE,36055,-77.640595,43.223129, , , , , , , , , , , , , , , , , , , , , , 
RITE AID - 623,1436 WEST RIDGE ROAD,ROCHESTER,NY,14615,2411,MONROE,36055,-77.664898,43.205452, , , , , , , , , , , , , , , , , , , , , , 
WEGMANS,3175 CHILI AVENUE,ROCHESTER,NY,14624,5423,MONROE,36055,-77.744142,43.104348, , , , , , , , , , , , , , , , , , , , , , 
WEGMANS,2833 RIDGE ROAD WEST,ROCHESTER,NY,14626,1632,MONROE,36055,-77.703677,43.208098, , , , , , , , , , , , , , , , , , , , , , 
TARGET,600 GREECE RIDGE CENTER DRIVE,ROCHESTER,NY,14626,2825,MONROE,36055,-77.692234,43.202773, , , , , , , , , , , , , , , , , , , , , , 
RITE AID - 10832,480 EVANS STREET,WILLIAMSVILLE,NY,14221,5670,ERIE,36029,-78.740309,42.97723, , , , , , , , , , , , , , , , , , , , , , 
RITE AID - 10846,420 HAMILTON STREET,GENEVA,NY,14456,3002,ONTARIO,36069,-76.995721,42.858013, , , , , , , , , , , , , , , , , , , , , , 
BUFFALO PSYCHIATRIC CENTER,400 FOREST AVENUE,BUFFALO,NY,14213,1207,ERIE,36029,-78.880348,42.929249, , , , , , , , , , , , , , , , , , , , , , 
WEGMANS,650 HYLAN DRIVE,ROCHESTER,NY,14623,4253,MONROE,36055,-77.627474,43.083465, , , , , , , , , , , , , , , , , , , , , , 
WEGMANS,1955 EMPIRE BOULEVARD,WEBSTER,NY,14580,1903,MONROE,36055,-77.504719,43.193446, , , , , , , , , , , , , , , , , , , , , , 
NAPLES PHARMACY,105 SOUTH MAIN STREET,NAPLES,NY,14512,9574,ONTARIO,36069,-77.402961,42.615063, , , , , , , , , , , , , , , , , , , , , , 
WALGREENS - 10697,431 HAMILTON STREET,GENEVA,NY,14456,3001,ONTARIO,36069,-77.000772,42.856979, , , , , , , , , , , , , , , , , , , , , , 
WEGMANS,2301 LYELL AVENUE,ROCHESTER,NY,14606,5735,MONROE,36055,-77.688352,43.163362, , , , , , , , , , , , , , , , , , , , , , 
RITE AID - 10807,601 EAST MAIN STREET,BATAVIA,NY,14020,2827,GENESEE,36037,-78.162862,42.995255, , , , , , , , , , , , , , , , , , , , , , 
OAKFIELD FAMILY PHARMACY,40 MAIN STREET,OAKFIELD,NY,14125,1043,GENESEE,36037,-78.271896,43.067342, , , , , , , , , , , , , , , , , , , , , , 
RITE AID - 1871,40 EAST STATE STREET,MOUNT MORRIS,NY,14510,1147,LIVINGSTON,36051,-77.867676,42.727486, , , , , , , , , , , , , , , , , , , , , , 
RITE AID - 686,9519 FOSTER WHEELER ROAD,DANSVILLE,NY,14437,9259,LIVINGSTON,36051,-77.714759,42.566986, , , , , , , , , , , , , , , , , , , , , , 
PINE PHARMACY,5110 MAIN STREET,WILLIAMSVILLE,NY,14221,5256,ERIE,36029,-78.76205,42.960456, , , , , , , , , , , , , , , , , , , , , , 
CVS - 5073,15 HONEOYE COMMONS,HONEOYE,NY,14471, ,ONTARIO,36069,-77.505544,42.789133, , , , , , , , , , , , , , , , , , , , , , 
CVS - 725,465 KENMORE AVENUE,TONAWANDA,NY,14223,2821,ERIE,36029,-78.834792,42.958595, , , , , , , , , , , , , , , , , , , , , , 
FF THOMPSON HOSPITAL,350 PARRISH STREET,CANANDAIGUA,NY,14424,1731,ONTARIO,36069,-77.290128,42.876067, , , , , , , , , , , , , , , , , , , , , , 
ACCESS SOLUTIONS,525 AERO DRIVE,CHEEKTOWAGA,NY,14225,1405,ERIE,36029,-78.720736,42.94234, , , , , , , , , , , , , , , , , , , , , , 
SOUTH PARK HEALTH MART PHARMACY,2707 SOUTH PARK AVENUE,BUFFALO,NY,14218,1511,ERIE,36029,-78.824179,42.826345, , , , , , , , , , , , , , , , , , , , , , 
TILE PHARMACY,1031 CLEVELAND DRIVE,CHEEKTOWAGA,NY,14225,1221,ERIE,36029,-78.761271,42.945041, , , , , , , , , , , , , , , , , , , , , , 
TOPS,150 NIAGARA STREET,TONAWANDA,NY,14150,1001,ERIE,36029,-78.884478,43.020069, , , , , , , , , , , , , , , , , , , , , , 
RITE AID - 10816,5999 SOUTH PARK AVENUE,HAMBURG,NY,14075,3719,ERIE,36029,-78.826829,42.733735, , , , , , , , , , , , , , , , , , , , , , 
CVS - 649,358 BUFFALO STREET,HAMBURG,NY,14075,3862,ERIE,36029,-78.826152,42.724873, , , , , , , , , , , , , , , , , , , , , , 
RITE AID - 1962,284 CONNECTICUT STREET,BUFFALO,NY,14213,2542,ERIE,36029,-78.89009,42.905169, , , , , , , , , , , , , , , , , , , , , , 
WALGREENS - 3270,2601 SHERIDAN DRIVE,TONAWANDA,NY,14150,9413,ERIE,36029,-78.836729,42.980293, , , , , , , , , , , , , , , , , , , , , , 
WALGREENS - 10443,3564 DELAWARE AVENUE,KENMORE,NY,14217,1122,ERIE,36029,-78.873291,42.981419, , , , , , , , , , , , , , , , , , , , , , 
WEGMANS,5275 SHERIDAN DRIVE,WILLIAMSVILLE,NY,14221,3502,ERIE,36029,-78.736893,42.976478, , , , , , , , , , , , , , , , , , , , , , 
WALGREENS - 3257,1328 ABBOTT ROAD,LACKAWANNA,NY,14218,1910,ERIE,36029,-78.803988,42.828771, , , , , , , , , , , , , , , , , , , , , , 
WEGMANS,8270 TRANSIT ROAD,WILLIAMSVILLE,NY,14221,2820,ERIE,36029,-78.698992,42.993421, , , , , , , , , , , , , , , , , , , , , , 
HIGH STREET PRESCRIPTION CENTER,100 HIGH STREET,BUFFALO,NY,14203,1126,ERIE,36029,-78.865292,42.900875, , , , , , , , , , , , , , , , , , , , , , 
LIFETIME HEALTH PHARMACY,151 ELMVIEW AVENUE,HAMBURG,NY,14075,3762,ERIE,36029,-78.842298,42.733338, , , , , , , , , , , , , , , , , , , , , , 
HAMBURG HEALTH MART PHARMACY,206 LAKE STREET,HAMBURG,NY,14075,4471,ERIE,36029,-78.840159,42.722626, , , , , , , , , , , , , , , , , , , , , , 
ISLAND PRESCRIPTION CENTER,1728 GRAND ISLAND BOULEVARD,GRAND ISLAND,NY,14072,2122,ERIE,36029,-78.951485,43.008423, , , , , , , , , , , , , , , , , , , , , , 
SOUTHTOWNS MEDICAL PHARMACY,3671 SOUTHWESTERN BOULEVARD,ORCHARD PARK,NY,14127,1749,ERIE,36029,-78.772698,42.779972, , , , , , , , , , , , , , , , , , , , , , 
RITE AID - 568,50 SOUTH MAIN STREET,JAMESTOWN,NY,14701,6633,CHAUTAUQUA,36013,-79.238736,42.092326, , , , , , , , , , , , , , , , , , , , , , 
RITE AID - 10820,4060 NORTH BUFFALO ROAD,ORCHARD PARK,NY,14127,2444,ERIE,36029,-78.747337,42.771874, , , , , , , , , , , , , , , , , , , , , , 
TARGET,2161 NORTH NINE MILE POINT ROAD,FAIRPORT,NY,14450,8509,MONROE,36055,-77.443888,43.128131, , , , , , , , , , , , , , , , , , , , , , 
CHURCHVILLE PHARMACY,42 SOUTH MAIN STREET,CHURCHVILLE,NY,14428, ,MONROE,36055,-77.884271,43.102865, , , , , , , , , , , , , , , , , , , , , , 
CVS - 2218,3750 MOUNT READ BOULEVARD,ROCHESTER,NY,14616,3436,MONROE,36055,-77.658331,43.227241, , , , , , , , , , , , , , , , , , , , , , 
CVS - 753,2300 EAST MAIN STREET,ROCHESTER,NY,14609,7623,MONROE,36055,-77.54892,43.159809, , , , , , , , , , , , , , , , , , , , , , 
WALGREENS - 11208,3127 CHILI AVENUE,ROCHESTER,NY,14624,4530,MONROE,36055,-77.743533,43.107755, , , , , , , , , , , , , , , , , , , , , , 
WALGREENS - 9584,1650 ELMWOOD AVENUE,ROCHESTER,NY,14620,3418,MONROE,36055,-77.593418,43.126233, , , , , , , , , , , , , , , , , , , , , , 
ROCHESTER PSYCHIATRIC CENTER,1111 ELMWOOD AVENUE,ROCHESTER,NY,14620,3005,MONROE,36055,-77.610346,43.12296, , , , , , , , , , , , , , , , , , , , , , 
CVS - 1142,1900 EMPIRE BOULEVARD,WEBSTER,NY,14580,1934,MONROE,36055,-77.501365,43.191229, , , , , , , , , , , , , , , , , , , , , , 
TARGET,2325 MARKETPLACE DRIVE,ROCHESTER,NY,14623,6009,MONROE,36055,-77.632423,43.077941, , , , , , , , , , , , , , , , , , , , , , 
WAL-MART SUPERCENTER - 3280,1490 HUDSON AVENUE,ROCHESTER,NY,14621,1701,MONROE,36055,-77.596791,43.194303, , , , , , , , , , , , , , , , , , , , , , 
