,NAME,ADDRESS,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,X,Y
30,WALGREENS - 9717,6785 TRANSIT ROAD,EAST AMHERST,NY,14051,1303,ERIE,36029,-78.69615,43.033867
31,SAM'S CLUB - 6673,3735 UNION ROAD,CHEEKTOWAGA,NY,14225,4200,ERIE,36029,-78.750491,42.915254
32,WALGREENS - 11142,9217 MAIN STREET,CLARENCE,NY,14031,1960,ERIE,36029,-78.647436,42.969145000000005
33,RITE AID - 10838,2561 UNION ROAD,CHEEKTOWAGA,NY,14227,2205,ERIE,36029,-78.753124,42.881925
34,RITE AID - 10836,2401 GENESEE STREET,CHEEKTOWAGA,NY,14225,2805,ERIE,36029,-78.794253,42.919309999999996
35,RITE AID - 10861,4433 DEWEY AVENUE,ROCHESTER,NY,14616,1223,MONROE,36055,-77.64746,43.252418
36,RITE AID - 10830,2175 SOUTH PARK AVENUE,BUFFALO,NY,14220,2231,ERIE,36029,-78.824224,42.839448
37,RITE AID - 1500,6000 TRANSIT ROAD,DEPEW,NY,14043,1530,ERIE,36029,-78.697802,42.918997
38,RITE AID - 10860,1490 LAKE AVENUE,ROCHESTER,NY,14615,3041,MONROE,36055,-77.627975,43.193626
39,CVS - 653,1370 NORTON STREET,ROCHESTER,NY,14621,3936,MONROE,36055,-77.585521,43.187826
40,CVS - 592,2100 MONROE AVENUE,ROCHESTER,NY,14618,2408,MONROE,36055,-77.560946,43.123847999999995
41,WEGMANS,651 DICK ROAD,DEPEW,NY,14043,1821,ERIE,36029,-78.736343,42.920916999999996
42,UNIVERSITY OF ROCHESTER MEDICAL CENTER SURGERY CENTER,180 SAWGRASS DRIVE,ROCHESTER,NY,14620,4648,MONROE,36055,-77.609085,43.114117
43,WEGMANS,4960 TRANSIT ROAD,DEPEW,NY,14043,4616,ERIE,36029,-78.700144,42.881687
44,TARGET,3181 CHILI AVENUE,ROCHESTER,NY,14624,5409,MONROE,36055,-77.74679499999999,43.104251
45,WEGMANS,3740 MCKINLEY PARKWAY,BUFFALO,NY,14219,2660,ERIE,36029,-78.8124,42.782955
46,RITE AID - 10867,2050 CHILI AVENUE,ROCHESTER,NY,14624,3424,MONROE,36055,-77.687097,43.132554
47,BROOKS PHARMACY,4481 LAKE SHORE ROAD,HAMBURG,NY,14075,2404,ERIE,36029,-78.879152,42.762102
48,TOPS,285 UPPER FALLS BOULEVARD,ROCHESTER,NY,14605,2184,MONROE,36055,-77.609589,43.169883
49,HOLLAND PHARMACY INCORPORATED,19 NORTH MAIN STREET,HOLLAND,NY,14080,9509,ERIE,36029,-78.542073,42.641439
50,ANTHONY BROWN HEALTH MART PHARMACY,4328 SOUTH BUFFALO STREET,ORCHARD PARK,NY,14127,2638,ERIE,36029,-78.744465,42.765574
51,MILLERS PHARMACY,201 SCOTTSVILLE WEST HENRIETTA ROAD,WEST HENRIETTA,NY,14586,9540,MONROE,36055,-77.707685,43.035709000000004
52,HIGHLAND SOUTH WEDGE PHARMACY,777 SOUTH CLINTON AVENUE,ROCHESTER,NY,14620,1401,MONROE,36055,-77.599193,43.142154
53,WAL-MART SUPERCENTER - 2859,2150 CHILI AVENUE,ROCHESTER,NY,14624,3453,MONROE,36055,-77.689,43.133774
54,WAL-MART - 1744,1902 EMPIRE BOULEVARD,WEBSTER,NY,14580,1959,MONROE,36055,-77.498147,43.190428999999995
55,TOPS,128 WEST MAIN STREET,LE ROY,NY,14482,1300,GENESEE,36037,-78.004736,42.979791
56,RITE AID - 10817,459 SOUTH TRANSIT STREET,LOCKPORT,NY,14094,5506,NIAGARA,36063,-78.697787,43.154501
57,RITE AID - 1597,125 SOUTH TRANSIT STREET,LOCKPORT,NY,14094,4834,NIAGARA,36063,-78.697373,43.164102
58,RITE AID - 1538,731 CENTER STREET,LEWISTON,NY,14092,1705,NIAGARA,36063,-79.037891,43.171709
59,RITE AID - 10855,985 RIDGE ROAD,WEBSTER,NY,14580,2905,MONROE,36055,-77.460015,43.208135999999996
60,TOPS,1900 CLINTON AVENUE SOUTH,ROCHESTER,NY,14618,5621,MONROE,36055,-77.592192,43.121157000000004
61,CVS - 589,955 PAYNE AVENUE,NORTH TONAWANDA,NY,14120, ,NIAGARA,36063,-78.876768,43.05061
62,RITE AID - 1913,214 LOCKPORT STREET,YOUNGSTOWN,NY,14174,1008,NIAGARA,36063,-79.047499,43.251041
63,WAL-MART SUPERCENTER - 1909,1540 MILITARY ROAD,NIAGARA FALLS,NY,14304,4704,NIAGARA,36063,-78.978899,43.094235
64,RITE AID - 416,151 WEST MAIN STREET,LEROY,NY,14482,1317,GENESEE,36037,-78.00648199999999,42.977519
65,UPSTATE PHARMACY,40 NORTH AMERICA DRIVE,WEST SENECA,NY,14224,2225,ERIE,36029,-78.75078,42.847995000000004
66,FAMILY MEDICAL PHARMACY,120 PLAZA DRIVE,WILLIAMSVILLE,NY,14221,2345,ERIE,36029,-78.740985,43.001238
67,UNION MEDICAL PHARMACY,1769 ORCHARD PARK ROAD,WEST SENECA,NY,14224,4624,ERIE,36029,-78.756474,42.804293
68,AMERICAN HOMEPATIENT,435 LAWRENCE BELL DRIVE,WILLIAMSVILLE,NY,14221,7806,ERIE,36029,-78.709466,42.952213
69,CORAM SPECIALTY INFUSION SERVICES,375 NORTH FRENCH ROAD,AMHERST,NY,14228,2009,ERIE,36029,-78.810386,43.034039
70,WALGREENS - 3438,1202 PINE AVENUE,NIAGARA FALLS,NY,14301,1918,NIAGARA,36063,-79.047708,43.095129
71,WILSON COMMUNITY PHARMACY,272 PETTIT STREET,WILSON,NY,14172,9696,NIAGARA,36063,-78.827318,43.30976
72,WAL-MART - 2107,5783 SOUTH TRANSIT ROAD,LOCKPORT,NY,14094,5811,NIAGARA,36063,-78.693658,43.143843
73,TOPS,301 MEADOW DRIVE,NORTH TONAWANDA,NY,14120,2819,NIAGARA,36063,-78.874509,43.050686
74,WAL-MART SUPERCENTER - 1673,4238 RECREATION DRIVE,CANANDAIGUA,NY,14424,2235,ONTARIO,36069,-77.239873,42.876205
75,RITE AID - 1912,3987 LOCKPORT OLCOTT ROAD,LOCKPORT,NY,14094,1132,NIAGARA,36063,-78.676147,43.219325
76,OMNICARE PHARMACY OF WESTERN NEW YORK,2410 NORTH AMERICA DRIVE,WEST SENECA,NY,14224,5315,ERIE,36029,-78.736611,42.849439000000004
77,PHARMHEALTH INFUSION,172 ALEXANDER STREET,ROCHESTER,NY,14607,3606,MONROE,36055,-77.597995,43.147628000000005
78,ASSOCIATED HEALTHCARE PHARMACY,1031 MAIN STREET,BUFFALO,NY,14203,1014,ERIE,36029,-78.868611,42.902029
79,WALGREENS - 10380,18 EASTERN BOULEVARD,CANANDAIGUA,NY,14424,2219,ONTARIO,36069,-77.268186,42.878896000000005
80,WEGMANS,3195 MONROE AVENUE,ROCHESTER,NY,14618,4605,MONROE,36055,-77.543403,43.106546
81,HOLLEY PHARMACY,3 GEDDES STREET EXTENSION,HOLLEY,NY,14470,1122,ORLEANS,36073,-78.02299599999999,43.224746
82,WEGMANS,745 CALKINS ROAD,ROCHESTER,NY,14623,4435,MONROE,36055,-77.612083,43.067014
83,UPSTATE HOMECARE,354 CAYUGA ROAD,BUFFALO,NY,14225,1945,ERIE,36029,-78.744905,42.93906
84,UNITED STATES DEPARTMENT OF VETERAN AFFAIRS ROCHESTER COMMUNITY BASED OUTPATIENT CLINIC,465 WESTFALL ROAD,ROCHESTER,NY,14620,4645,MONROE,36055,-77.606379,43.11428
85,CVS - 5074,100 EAST NAPLES STREET,WAYLAND,NY,14572,1108,STEUBEN,36101,-77.589122,42.568197
86,FARIS PHARMACY,2050 LATTA ROAD,ROCHESTER,NY,14612,3734,MONROE,36055,-77.666565,43.253769
87,WALGREENS - 10218,226 LIBERTY STREET,PENN YAN,NY,14527,1647,YATES,36123,-77.056658,42.660168
88,NIAGARA APOTHECARY HEALTH MART PHARMACY,8745 NIAGARA FALLS BOULEVARD,NIAGARA FALLS,NY,14304,1947,NIAGARA,36063,-78.96140600000001,43.092022
89,RITE AID - 442,138 ELM STREET,PENN YAN,NY,14527,1412,YATES,36123,-77.055451,42.660198
90,METCARE RX,480 GENESEE STREET,ROCHESTER,NY,14611,3634,MONROE,36055,-77.635757,43.140692
91,RITE AID - 2783,281-285 MAIN STREET,GENEVA,NY,14456,2603,ONTARIO,36069,-76.984626,42.867703999999996
92,LIFETIME PHARMACY,2975 BRIGHTON HENRIETTA TOWN LINE ROAD,ROCHESTER,NY,14623,2787,MONROE,36055,-77.59636400000001,43.093863
93,TARGET,7500 COMMONS BOULEVARD,VICTOR,NY,14564,1010,ONTARIO,36069,-77.448049,43.03399
94,WAL-MART SUPERCENTER - 3842,425 STATE ROUTE 31,MACEDON,NY,14502,9108,WAYNE,36117,-77.357924,43.066396999999995
95,WALGREENS - 11904,8 WEST MAIN STREET,LE ROY,NY,14482,1312,GENESEE,36037,-77.993025,42.978190999999995
96,RITE AID - 4967,5651 WHISKEY HILL ROAD,WOLCOTT,NY,14590,9379,WAYNE,36117,-76.81487299999999,43.208157
97,RITE AID - 10806,4155 WEST MAIN STREET ROAD,BATAVIA,NY,14020,1240,GENESEE,36037,-78.20649300000001,43.006273
98,RITE AID - 10856,4061 ROUTE 104,WILLIAMSON,NY,14589,9554,WAYNE,36117,-77.187834,43.233431
99,BATAVIA VETERANS ADMINISTRATION MEDICAL CENTER,222 RICHMOND AVENUE,BATAVIA,NY,14020,1227,GENESEE,36037,-78.197733,43.013360999999996
100,LIFETIME HEALTH MEDICAL GROUP,120 GARDENVILLE PARKWAY WEST,WEST SENECA,NY,14224, ,ERIE,36029,-78.75939100000001,42.863959
101,MEDICAL PARK PHARMACY,550 ORCHARD PARK ROAD,WEST SENECA,NY,14224,2646,ERIE,36029,-78.779013,42.833341
102,SUMMIT PARK PHARMACY,2578 NIAGARA FALLS BOULEVARD,NIAGARA FALLS,NY,14304,4683,NIAGARA,36063,-78.907402,43.091846999999994
103,WEGMANS,1577 MILITARY ROAD,NIAGARA FALLS,NY,14304,4705,NIAGARA,36063,-78.969789,43.094967
104,THE DRUG SHOPPE,525 DIVISION STREET,NORTH TONAWANDA,NY,14120,4403,NIAGARA,36063,-78.861194,43.037498
105,THE MEDICINE SHOPPE PHARMACY,1806 PINE AVENUE,NIAGARA FALLS,NY,14301,2234,NIAGARA,36063,-79.039837,43.097770000000004
106,DEGRAFF MEMORIAL HOSPITAL,445 TREMONT STREET,NORTH TONAWANDA,NY,14120,6150,NIAGARA,36063,-78.8623,43.025684000000005
107,RITE AID - 614,2918 DEWEY AVENUE,ROCHESTER,NY,14616,4634,MONROE,36055,-77.64059499999999,43.223129
108,RITE AID - 623,1436 WEST RIDGE ROAD,ROCHESTER,NY,14615,2411,MONROE,36055,-77.664898,43.205452
109,WEGMANS,3175 CHILI AVENUE,ROCHESTER,NY,14624,5423,MONROE,36055,-77.74414200000001,43.104348
110,WEGMANS,2833 RIDGE ROAD WEST,ROCHESTER,NY,14626,1632,MONROE,36055,-77.703677,43.208098
111,TARGET,600 GREECE RIDGE CENTER DRIVE,ROCHESTER,NY,14626,2825,MONROE,36055,-77.692234,43.202773
112,RITE AID - 10832,480 EVANS STREET,WILLIAMSVILLE,NY,14221,5670,ERIE,36029,-78.740309,42.97723
113,RITE AID - 10846,420 HAMILTON STREET,GENEVA,NY,14456,3002,ONTARIO,36069,-76.995721,42.858013
114,BUFFALO PSYCHIATRIC CENTER,400 FOREST AVENUE,BUFFALO,NY,14213,1207,ERIE,36029,-78.880348,42.929249
115,WEGMANS,650 HYLAN DRIVE,ROCHESTER,NY,14623,4253,MONROE,36055,-77.62747399999999,43.083465000000004
116,WEGMANS,1955 EMPIRE BOULEVARD,WEBSTER,NY,14580,1903,MONROE,36055,-77.504719,43.193446
117,NAPLES PHARMACY,105 SOUTH MAIN STREET,NAPLES,NY,14512,9574,ONTARIO,36069,-77.402961,42.615063
118,WALGREENS - 10697,431 HAMILTON STREET,GENEVA,NY,14456,3001,ONTARIO,36069,-77.000772,42.856978999999995
119,WEGMANS,2301 LYELL AVENUE,ROCHESTER,NY,14606,5735,MONROE,36055,-77.68835200000001,43.163362
120,RITE AID - 10807,601 EAST MAIN STREET,BATAVIA,NY,14020,2827,GENESEE,36037,-78.162862,42.995255
121,OAKFIELD FAMILY PHARMACY,40 MAIN STREET,OAKFIELD,NY,14125,1043,GENESEE,36037,-78.271896,43.067342
122,RITE AID - 1871,40 EAST STATE STREET,MOUNT MORRIS,NY,14510,1147,LIVINGSTON,36051,-77.867676,42.727486
123,RITE AID - 686,9519 FOSTER WHEELER ROAD,DANSVILLE,NY,14437,9259,LIVINGSTON,36051,-77.714759,42.566986
124,PINE PHARMACY,5110 MAIN STREET,WILLIAMSVILLE,NY,14221,5256,ERIE,36029,-78.76205,42.960456
125,CVS - 5073,15 HONEOYE COMMONS,HONEOYE,NY,14471, ,ONTARIO,36069,-77.505544,42.789133
126,CVS - 725,465 KENMORE AVENUE,TONAWANDA,NY,14223,2821,ERIE,36029,-78.83479200000001,42.958595
127,FF THOMPSON HOSPITAL,350 PARRISH STREET,CANANDAIGUA,NY,14424,1731,ONTARIO,36069,-77.290128,42.876067
128,ACCESS SOLUTIONS,525 AERO DRIVE,CHEEKTOWAGA,NY,14225,1405,ERIE,36029,-78.720736,42.94234
129,SOUTH PARK HEALTH MART PHARMACY,2707 SOUTH PARK AVENUE,BUFFALO,NY,14218,1511,ERIE,36029,-78.824179,42.826345
130,TILE PHARMACY,1031 CLEVELAND DRIVE,CHEEKTOWAGA,NY,14225,1221,ERIE,36029,-78.761271,42.945040999999996
131,TOPS,150 NIAGARA STREET,TONAWANDA,NY,14150,1001,ERIE,36029,-78.884478,43.020069
132,RITE AID - 10816,5999 SOUTH PARK AVENUE,HAMBURG,NY,14075,3719,ERIE,36029,-78.826829,42.733734999999996
133,CVS - 649,358 BUFFALO STREET,HAMBURG,NY,14075,3862,ERIE,36029,-78.82615200000001,42.724872999999995
134,RITE AID - 1962,284 CONNECTICUT STREET,BUFFALO,NY,14213,2542,ERIE,36029,-78.89009,42.905169
135,WALGREENS - 3270,2601 SHERIDAN DRIVE,TONAWANDA,NY,14150,9413,ERIE,36029,-78.836729,42.980292999999996
136,WALGREENS - 10443,3564 DELAWARE AVENUE,KENMORE,NY,14217,1122,ERIE,36029,-78.87329100000001,42.981419
137,WEGMANS,5275 SHERIDAN DRIVE,WILLIAMSVILLE,NY,14221,3502,ERIE,36029,-78.73689300000001,42.976478
138,WALGREENS - 3257,1328 ABBOTT ROAD,LACKAWANNA,NY,14218,1910,ERIE,36029,-78.803988,42.828771
139,WEGMANS,8270 TRANSIT ROAD,WILLIAMSVILLE,NY,14221,2820,ERIE,36029,-78.698992,42.993421000000005
140,HIGH STREET PRESCRIPTION CENTER,100 HIGH STREET,BUFFALO,NY,14203,1126,ERIE,36029,-78.86529200000001,42.900875
141,LIFETIME HEALTH PHARMACY,151 ELMVIEW AVENUE,HAMBURG,NY,14075,3762,ERIE,36029,-78.842298,42.733338
142,HAMBURG HEALTH MART PHARMACY,206 LAKE STREET,HAMBURG,NY,14075,4471,ERIE,36029,-78.840159,42.722626
143,ISLAND PRESCRIPTION CENTER,1728 GRAND ISLAND BOULEVARD,GRAND ISLAND,NY,14072,2122,ERIE,36029,-78.95148499999999,43.008423
144,SOUTHTOWNS MEDICAL PHARMACY,3671 SOUTHWESTERN BOULEVARD,ORCHARD PARK,NY,14127,1749,ERIE,36029,-78.77269799999999,42.779971999999994
145,RITE AID - 568,50 SOUTH MAIN STREET,JAMESTOWN,NY,14701,6633,CHAUTAUQUA,36013,-79.238736,42.092326
146,RITE AID - 10820,4060 NORTH BUFFALO ROAD,ORCHARD PARK,NY,14127,2444,ERIE,36029,-78.747337,42.771874
147,TARGET,2161 NORTH NINE MILE POINT ROAD,FAIRPORT,NY,14450,8509,MONROE,36055,-77.443888,43.128130999999996
148,CHURCHVILLE PHARMACY,42 SOUTH MAIN STREET,CHURCHVILLE,NY,14428, ,MONROE,36055,-77.884271,43.102865
149,CVS - 2218,3750 MOUNT READ BOULEVARD,ROCHESTER,NY,14616,3436,MONROE,36055,-77.658331,43.227241
150,CVS - 753,2300 EAST MAIN STREET,ROCHESTER,NY,14609,7623,MONROE,36055,-77.54892,43.159809
151,WALGREENS - 11208,3127 CHILI AVENUE,ROCHESTER,NY,14624,4530,MONROE,36055,-77.743533,43.107755
152,WALGREENS - 9584,1650 ELMWOOD AVENUE,ROCHESTER,NY,14620,3418,MONROE,36055,-77.593418,43.126233
153,ROCHESTER PSYCHIATRIC CENTER,1111 ELMWOOD AVENUE,ROCHESTER,NY,14620,3005,MONROE,36055,-77.61034599999999,43.12296
154,CVS - 1142,1900 EMPIRE BOULEVARD,WEBSTER,NY,14580,1934,MONROE,36055,-77.501365,43.191229
155,TARGET,2325 MARKETPLACE DRIVE,ROCHESTER,NY,14623,6009,MONROE,36055,-77.632423,43.077940999999996
156,WAL-MART SUPERCENTER - 3280,1490 HUDSON AVENUE,ROCHESTER,NY,14621,1701,MONROE,36055,-77.59679100000001,43.194303000000005
157,RITE AID - 10839,1020 PORTAGE ROAD,NIAGARA FALLS,NY,14301,1120,NIAGARA,36063,-79.0521,43.098932
158,CVS - 577,2972 SAUNDERS SETTLEMENT ROAD,SANBORN,NY,14132,9448,NIAGARA,36063,-78.883547,43.142146999999994
159,RITE AID - 3500,3636 RANSOMVILLE ROAD,RANSOMVILLE,NY,14131,9703,NIAGARA,36063,-78.910159,43.237902000000005
160,TARGET,7414 NIAGARA FALLS BOULEVARD,NIAGARA FALLS,NY,14304,1720,NIAGARA,36063,-78.979324,43.090208000000004
161,WALGREENS - 12117,1066 PAYNE AVENUE,NORTH TONAWANDA,NY,14120,2720,NIAGARA,36063,-78.879076,43.051614
162,KMART,810 PAUL ROAD,ROCHESTER,NY,14624,4421,MONROE,36055,-77.747164,43.108556
163,TOPS,7200 NIAGARA FALLS BOULEVARD,NIAGARA FALLS,NY,14304,1716,NIAGARA,36063,-78.982443,43.090159
164,COMMUNITY MEDICAL PHARMACY,918 MICHIGAN AVENUE,NIAGARA FALLS,NY,14305,2608,NIAGARA,36063,-79.05224,43.104797
165,LOCKPORT APOTHECARY HEALTH MART PHARMACY,6606 LINCOLN AVENUE,LOCKPORT,NY,14094,6109,NIAGARA,36063,-78.66726899999999,43.152577
166,RITE AID - 1722,670 THURSTON ROAD,ROCHESTER,NY,14619,2151,MONROE,36055,-77.650598,43.131615000000004
167,RITE AID - 3597,535 PORTLAND AVENUE,ROCHESTER,NY,14621,5117,MONROE,36055,-77.59145799999999,43.175829
168,RITE AID - 615,792 WEST MAIN STREET,ROCHESTER,NY,14611,2343,MONROE,36055,-77.634062,43.151008000000004
169,RITE AID - 621,804 NORTH GOODMAN STREET,ROCHESTER,NY,14609,4640,MONROE,36055,-77.57895400000001,43.168956
170,RED JACKET PHARMACY,113 SOUTH MAIN STREET,MANCHESTER,NY,14504, ,ONTARIO,36069,-77.229642,42.960913
171,ELDERWOOD HEALTH CARE AT CRESTWOOD,2600 NIAGARA FALLS BOULEVARD,NIAGARA FALLS,NY,14304,4560,NIAGARA,36063,-78.907251,43.089665999999994
172,METRO HEALTH EAST PHARMACY,153 WEST COMMERCIAL STREET,EAST ROCHESTER,NY,14445,2151,MONROE,36055,-77.487061,43.113769
173,WALGREENS - 9992,1659 PENFIELD ROAD,ROCHESTER,NY,14625,2549,MONROE,36055,-77.492037,43.132312
174,DRUG SHOPPE PHARMACY,416 KENMORE AVENUE,BUFFALO,NY,14223,2860,ERIE,36029,-78.835369,42.957965
175,TOPS,1460 SOUTH PARK AVENUE,BUFFALO,NY,14220,1041,ERIE,36029,-78.830197,42.858548
176,TOPS,2130 GRAND ISLAND BOULEVARD,GRAND ISLAND,NY,14072,2194,ERIE,36029,-78.963077,43.019589
177,TOPS,6363 TRANSIT ROAD,DEPEW,NY,14043,1096,ERIE,36029,-78.694327,42.930661
178,WALGREENS - 12408,2970 NIAGARA FALLS BOULEVARD,AMHERST,NY,14228,2022,ERIE,36029,-78.823679,43.0353
179,TARGET,4920 TRANSIT ROAD,DEPEW,NY,14043,4625,ERIE,36029,-78.698965,42.878873
180,WAL-MART SUPERCENTER - 2785,441 COMMERCE DRIVE,VICTOR,NY,14564, ,ONTARIO,36069,-77.436366,43.015944
181,RITE AID - 10809,4900 BROADWAY,DEPEW,NY,14043,3934,ERIE,36029,-78.693709,42.902139
182,CHILDRENS HOME CARE PHARMACY,219 BRYANT STREET,BUFFALO,NY,14222,2006,ERIE,36029,-78.875024,42.909242
183,RITE AID - 1674,3950 UNION ROAD,CHEEKTOWAGA,NY,14225,4252,ERIE,36029,-78.75470899999999,42.921401
184,CATHOLIC HEALTH INFUSION PHARMACY,6350 TRANSIT ROAD,DEPEW,NY,14043,1031,ERIE,36029,-78.698224,42.929238
185,RITE AID - 1677,476 WILLIAM STREET,BUFFALO,NY,14206,1538,ERIE,36029,-78.853321,42.885616999999996
186,SOUTH SENECA PHARMACY,7115 NORTH MAIN STREET,OVID,NY,14521, ,SENECA,36099,-76.82064799999999,42.679497
187,RITE AID - 2448,1070 GENESEE STREET,BUFFALO,NY,14211,3007,ERIE,36029,-78.838548,42.903065000000005
188,UPSTATE HOMECARE,200 AIRPARK DRIVE,ROCHESTER,NY,14624,5716,MONROE,36055,-77.657885,43.115412
189,RITE AID - 3521,1410 DELAWARE AVENUE,BUFFALO,NY,14209,1111,ERIE,36029,-78.86771,42.922759
190,METCARE RX,322 LAKE AVENUE,ROCHESTER,NY,14608,1017,MONROE,36055,-77.626928,43.171175
191,WALGREENS - 3267,2043 KENSINGTON AVENUE,AMHERST,NY,14226,4722,ERIE,36029,-78.782792,42.949945
192,QUINLAN'S PHARMACY AND MEDICAL SUPPLY,107 NORTH MAIN STREET,WAYLAND,NY,14572,1033,STEUBEN,36101,-77.591949,42.56899
193,RITE AID - 10827,2585 MAIN STREET,BUFFALO,NY,14214,2023,ERIE,36029,-78.83965,42.938001
194,RITE AID - 10849,135 EAST UNION STREET,NEWARK,NY,14513,1503,WAYNE,36117,-77.093952,43.046436
195,BUFFALO PHARMACIES,1479 KENSINGTON AVENUE,BUFFALO,NY,14215,1436,ERIE,36029,-78.801713,42.942554
196,CVS - 5078,34 WEST MAIN STREET,SODUS,NY,14551,1118,WAYNE,36117,-77.06318,43.236795
197,RITE AID - 10831,8530 TRANSIT ROAD,AMHERST,NY,14221,2836,ERIE,36029,-78.697989,42.999412
198,RITE AID - 10851,1250 ROUTE 104,ONTARIO,NY,14519,8953,WAYNE,36117,-77.320192,43.225541
199,RITE AID - 763,4220 DELAWARE AVENUE,TONAWANDA,NY,14150,6120,ERIE,36029,-78.87570699999999,42.999206
200,SINCLAIR PHARMACY,75 NORTH MAIN STREET,WARSAW,NY,14569,1343,WYOMING,36121,-78.132863,42.741456
201,RITE AID - 10821,47 NIAGARA STREET,TONAWANDA,NY,14150,1105,ERIE,36029,-78.879688,43.020157
202,RITE AID - 782,128 NORTH CENTER STREET,PERRY,NY,14530,9701,WYOMING,36121,-78.004899,42.72651
203,TOPS - 566,321 LIBERTY STREET,PENN YAN,NY,14527,1117,YATES,36123,-77.05648000000001,42.662172999999996
204,RITE AID - 10822,2330 NIAGARA FALLS BOULEVARD,TONAWANDA,NY,14150,4759,ERIE,36029,-78.82293,43.017453
