,Unnamed: 0,Brand,Store Number,Store Name,Ownership Type,Street Address,City,State/Province,Country,Postcode,Phone Number,Timezone,Longitude,Latitude,Zipcode,IsWalmart,IsCSV,IsWalgreen,IsTarget,IsCVS,IsRiteAid,IsSuperShop
20868,20868,Starbucks,7335-1053,Stuyvesant Plaza,Company Owned,"1475 Western Avenue, Boulevard Mall",Albany,NY,US,122033520,5184891064,GMT-05:00 America/New_York,-73.84,42.68,12203,0,0,0,0,1,1,0
20869,20869,Teavana,28558-250068,Teavana - Boulevard Mall,Company Owned,"1259-A Niagara Falls Blvd., #317",Amherst,NY,US,14226,716-833-3234,GMT-05:00 America/New_York,-78.82,42.99,14226,0,0,1,0,1,1,0
20870,20870,Starbucks,7327-676,"Amherst, Niagara Falls Blvd",Company Owned,"1703 Niagara Falls Boulevard, The Commons - Buffalo University",Amherst,NY,US,142282705,(716) 836-8720,GMT-05:00 America/New_York,-78.82,43.0,14226,0,0,1,0,1,1,0
20871,20871,Starbucks,7318-1048,"The Commons, SUNY Buffalo",Company Owned,520 Lee Entrance,Amherst,NY,US,142282567,(716) 636-3607,GMT-05:00 America/New_York,-78.79,43.0,14226,0,0,1,0,1,1,0
20872,20872,Starbucks,76778-109264,Target Boulevard Mall T-1010,Licensed,1575 Niagara Falls Blvd,Amherst,NY,US,142282704,(716) 831-8750,GMT-05:00 America/New_York,-78.82,43.0,14226,0,0,1,0,1,1,0
20873,20873,Starbucks,7938-95618,Williamsville Place,Company Owned,5395-5495 Sheridan Drive,Amherst,NY,US,142213600,716-839-0580,GMT-05:00 America/New_York,-78.73,42.98,14221,1,0,1,1,0,1,0
20874,20874,Starbucks,79470-97520,Stop & Shop-Amityville #550,Licensed,351 Merrick Rd,Amityville,NY,US,117013420,631-391-0304,GMT-05:00 America/New_York,-73.41,40.67,11726,0,0,0,1,1,1,0
20875,20875,Starbucks,24309-237007,Amityville- Broadway,Company Owned,"751-827 Broadway, 200",Amityville,NY,US,11701,,GMT-05:00 America/New_York,-73.43,40.7,11701,0,0,1,0,1,0,1
20876,20876,Starbucks,70085-136616,Target Amsterdam T-2461,Licensed,"4930 State Hwy 30, Village Green",Amsterdam,NY,US,120107520,518-770-7180,GMT-05:00 America/New_York,-74.19,42.96,12070,0,0,0,0,0,0,0
20877,20877,Starbucks,7304-1172,Ardsley,Company Owned,716-718 Saw Mill Road,Ardsley,NY,US,105021817,(914) 693-5706,GMT-05:00 America/New_York,-73.85,41.01,10502,0,0,0,0,1,1,0
20878,20878,Starbucks,14840-129334,31-01 Broadway,Company Owned,31-01 Broadway,Astoria,NY,US,111062648,718-777-1305,GMT-05:00 America/New_York,-73.93,40.76,11106,0,0,1,0,0,1,0
20879,20879,Starbucks,22638-223164,Astoria Blvd & 31st St,Company Owned,30-18 Astoria Blvd,Astoria,NY,US,11102,7182781518,GMT-05:00 America/New_York,-73.92,40.77,11102,0,0,0,0,0,1,0
20880,20880,Starbucks,9663-97893,35th Ave and 37th St,Company Owned,3711 35th Avenue,Astoria,NY,US,11106,718-706-0464,GMT-05:00 America/New_York,-73.92,40.76,11103,0,0,0,0,0,1,0
20881,20881,Starbucks,7567-18640,31-44 Steinway Street,Company Owned,31-44 Steinway Street,Astoria,NY,US,111033911,718-274-5700,GMT-05:00 America/New_York,-73.92,40.76,11103,0,0,0,0,0,1,0
20882,20882,Starbucks,7555-14690,31St St & Ditmars Blvd,Company Owned,22-04 31st Street,Astoria,NY,US,111052714,718-626-6004,GMT-05:00 America/New_York,-73.91,40.78,11105,0,0,0,0,1,1,0
20883,20883,Starbucks,79465-104047,Stop & Shop-Babylon #543,Licensed,88 Golding Avenue,Babylon,NY,US,117046203,,GMT-05:00 America/New_York,-73.36,40.71,11704,0,0,0,0,1,1,1
20884,20884,Starbucks,73906-133727,Waldbaums-Baldwin Harbor-#452,Licensed,905 Atlantic Avenue,Baldwin Harbor,NY,US,115104240,516- 867-7301,GMT-05:00 America/New_York,-73.61,40.64,11510,0,0,1,0,1,0,0
20885,20885,Starbucks,76920-135784,Target Batavia T-2382,Licensed,"4300 Veterens Memorial Dr, South Shore",Batavia,NY,US,140201258,(585) 300-2045,GMT-05:00 America/New_York,-78.21,43.01,14020,1,0,0,1,1,1,0
20886,20886,Teavana,28680-250157,Teavana - South Shore,Company Owned,"1701 Sunrise Hwy., Ste. M65",Bay Shore,NY,US,11706,631-665-2391,GMT-05:00 America/New_York,-73.25,40.74,11718,0,0,0,0,0,0,0
20887,20887,Starbucks,15413-156964,Target Bay Shore T-1148,Licensed,838 Sunrise Hwy,Bay Shore,NY,US,117065908,631-969-8958,GMT-05:00 America/New_York,-73.28,40.73,11718,0,0,0,0,0,0,0
20888,20888,Starbucks,19833-188585,Macys South Shore Mall,Licensed,"1702 Sunrise Hwy, The Shoppes at Bayport",Bay Shore,NY,US,11706,631-665-8400,GMT-05:00 America/New_York,-73.24,40.74,11751,0,0,0,0,0,0,0
20889,20889,Starbucks,10284-100403,Bayport,Company Owned,911 Montauk Highway,Bayport,NY,US,117051613,631-472-0151,GMT-05:00 America/New_York,-73.05,40.75,11705,0,0,0,0,1,0,0
20890,20890,Starbucks,7391-1676,215th St. & Northern Blvd,Company Owned,215-29 Northern Blvd.,Bayside,NY,US,113613464,(718) 281-4165,GMT-05:00 America/New_York,-73.77,40.76,11361,0,0,0,0,1,1,0
20891,20891,Starbucks,13450-106937,251-05 Jamaica Avenue,Company Owned,251-05 Jamaica Avenue,Bellerose,NY,US,11426,7183471304,GMT-05:00 America/New_York,-73.71,40.73,11001,0,0,0,0,1,1,0
20892,20892,Starbucks,2782-91102,"Bethpage, Stewart Avenue",Company Owned,205 Stewart Ave,Bethpage,NY,US,117145345,516-520-0698,GMT-05:00 America/New_York,-73.48,40.73,11714,0,0,1,0,1,1,0
20893,20893,Starbucks,76580-100173,Target Big Flats T-2158,Licensed,"930 Country Rd 64, The Gardens",Big Flats,NY,US,14814,607-796-5910,GMT-05:00 America/New_York,-76.87,42.15,14903,0,0,0,1,0,0,0
20894,20894,Starbucks,10286-100066,"Binghamton, Front Street",Company Owned,904 Upper Front Street,Binghamton,NY,US,139051342,607-722-1702,GMT-05:00 America/New_York,-75.9,42.14,13901,0,0,0,0,1,1,0
20895,20895,Starbucks,47138-246688,Binghamton U at Hinman Dining Hall,Licensed,4400 Vestal Parkway East,Binghamton,NY,US,13902,,GMT-05:00 America/New_York,-75.91,42.1,13903,0,0,1,0,1,1,0
20896,20896,Starbucks,7486-6847,Hamburg,Company Owned,3540 McKinley Parkway,Blasdell,NY,US,142192600,716-828-9005,GMT-05:00 America/New_York,-78.81,42.79,14219,0,0,0,0,1,1,0
20897,20897,Starbucks,20136-203441,Bohemia- Veterans Mem Hwy,Company Owned,"4180 Veterans Memorial Hwy, Mrs. Green's Market",Bohemia,NY,US,11716,6319811237,GMT-05:00 America/New_York,-73.1,40.78,11716,0,0,0,0,1,0,0
20898,20898,Starbucks,9369-96113,Briarcliff Manor,Company Owned,107 North State Rd,Briarcliff Manor,NY,US,105101444,914-923-0263,GMT-05:00 America/New_York,-73.83,41.15,10510,0,0,0,0,0,0,0
20899,20899,Starbucks,7406-1586,Bridgehampton Village,Company Owned,"2488 Montauk Hwy, Twelve Corners Shopping Center",Bridgehampton,NY,US,11932,6315375851,GMT-05:00 America/New_York,-72.3,40.94,11976,0,0,0,0,0,0,0
20900,20900,Starbucks,7315-1049,Twelve Corners,Company Owned,1914 Monroe Avenue,Brighton,NY,US,146181919,585-442-6410,GMT-05:00 America/New_York,-77.56,43.13,14618,0,0,0,0,1,1,0
20901,20901,Starbucks,29721-255066,Eastchester Rd. & Morris Park Ave.,Company Owned,1886 Eastchester Rd.,Bronx,NY,US,10461,6466183964,GMT-05:00 America/New_York,-73.84,40.85,10461,0,0,1,0,1,1,0
20902,20902,Starbucks,29855-255554,Throgs Neck Shopping Center,Company Owned,"815 E Hutchinson River Pkwy, 845",Bronx,NY,US,10465,9292464022,GMT-05:00 America/New_York,-73.84,40.82,10473,0,0,0,0,0,1,0
20903,20903,Starbucks,25446-241029,161st & Morris Ave,Company Owned,260 East 161st Street,Bronx,NY,US,10451,6468599582,GMT-05:00 America/New_York,-73.92,40.83,10456,0,0,0,0,0,0,0
20904,20904,Starbucks,23265-228866,230th & Broadway,Company Owned,171 W 230th St,Bronx,NY,US,10463,646-455-9846,GMT-05:00 America/New_York,-73.91,40.88,10463,0,0,1,1,1,1,0
20905,20905,Starbucks,17829-138153,Manhattan College - Thomas Hall Stu,Licensed,4513 Manhattan College Pkwy,Bronx,NY,US,104714004,,GMT-05:00 America/New_York,-73.9,40.89,10463,0,0,1,1,1,1,0
20906,20906,Starbucks,3863-141165,Target Bronx Terminal T-2475,Licensed,"700 Exterior St, Fordham Plaza",Bronx,NY,US,104512042,(718) 401-5651,GMT-05:00 America/New_York,-73.93,40.82,10451,0,0,0,1,1,0,0
20907,20907,Starbucks,19872-189465,Fordham Plaza,Company Owned,440 East Fordham Road,Bronx,NY,US,10458,(718) 220-4920,GMT-05:00 America/New_York,-73.89,40.86,10458,0,0,1,0,0,1,0
20908,20908,Starbucks,7745-26828,Metropolitan Ave & Wood Ave,Company Owned,1385 Metropolitan Avenue,Bronx,NY,US,104627403,718-319-1702,GMT-05:00 America/New_York,-73.86,40.84,10462,0,0,1,0,1,1,0
20909,20909,Starbucks,76239-88982,Target Riverdale T-1798,Licensed,40 W 225th St,Bronx,NY,US,104637016,,GMT-05:00 America/New_York,-73.91,40.87,10468,0,0,0,0,0,1,0
20910,20910,Starbucks,11931-106884,235th & Johnson Ave,Company Owned,3503 Johnson Avenue,Bronx,NY,US,104631602,718-543-2348,GMT-05:00 America/New_York,-73.91,40.89,10463,0,0,1,1,1,1,0
20911,20911,Starbucks,21895-215765,Target Bronx T-2811,Licensed,815 Hutchinson River Pkwy,Bronx,NY,US,10465,718-536-2689,GMT-05:00 America/New_York,-73.84,40.82,10473,0,0,0,0,0,1,0
20912,20912,Starbucks,9282-95649,225th & Kingsbridge Plaza,Company Owned,"50 W. 225th Street, Bldg. K1",Bronx,NY,US,104681128,718-561-3749,GMT-05:00 America/New_York,-73.91,40.87,10468,0,0,0,0,0,1,0
20913,20913,Starbucks,13535-108268,Eastchester Rd & Waters Pl,Company Owned,1728 Eastchester Road,Bronx,NY,US,104612322,718-239-4931,GMT-05:00 America/New_York,-73.84,40.85,10461,0,0,1,0,1,1,0
20914,20914,Starbucks,803-2021,Bronxville,Company Owned,29 Park Place,Bronxville,NY,US,107084106,914-771-9103,GMT-05:00 America/New_York,-73.83,40.94,10708,0,0,0,0,1,0,0
20915,20915,Starbucks,15465-147769,LIU CW Post,Licensed,720 Northern Blvd,Brookfield,NY,US,115481319,5162992473,GMT-05:00 America/New_York,-73.62,40.81,11548,0,0,0,0,0,0,0
20916,20916,Starbucks,2864-92970,Bay Ridge Pkwy & 3rd Ave,Company Owned,7419 3rd Avenue,Brooklyn,NY,US,112092407,718-836-3882,GMT-05:00 America/New_York,-74.03,40.63,11209,0,0,1,0,0,1,0
20917,20917,Starbucks,76878-100172,Target Brooklyn College,Licensed,2201 Nostrand Ave,Brooklyn,NY,US,112103036,718-637-5005,GMT-05:00 America/New_York,-73.95,40.63,11210,0,0,0,1,0,1,0
20918,20918,Starbucks,76240-90427,Target Atlantic Terminal T-1849,Licensed,139 Flatbush Ave,Brooklyn,NY,US,112171450,718-290-1109,GMT-05:00 America/New_York,-73.98,40.68,11217,0,0,1,1,0,0,0
20919,20919,Starbucks,21352-210984,395 Flatbush Ave Extension,Company Owned,"395 Flatbush Ave Extension, D",Brooklyn,NY,US,11201,7188588070,GMT-05:00 America/New_York,-73.98,40.69,11217,0,0,1,1,0,0,0
20920,20920,Starbucks,22560-214868,Kings Plaza Mall,Company Owned,"5296 Kings Plaza, Unit 0K2",Brooklyn,NY,US,11234,9292712767,GMT-05:00 America/New_York,-73.92,40.61,11229,0,0,1,0,1,1,0
20921,20921,Starbucks,23836-232524,394 Myrtle Ave,Company Owned,394 Myrtle Ave,Brooklyn,NY,US,11205,3475870422,GMT-05:00 America/New_York,-73.97,40.69,11205,0,0,1,0,0,0,0
20922,20922,Starbucks,16153-155504,Macy's-Kings Plaza #6,Licensed,5400 Avenue U,Brooklyn,NY,US,112345204,718-253-3100,GMT-05:00 America/New_York,-73.92,40.61,11229,0,0,1,0,1,1,0
20923,20923,Starbucks,7595-14074,Court St & Dean St,Company Owned,167 Court Street,Brooklyn,NY,US,112016422,718-222-9729,GMT-05:00 America/New_York,-73.99,40.69,11201,0,0,0,0,1,1,0
20924,20924,Starbucks,8131-96060,Cropsey Ave & Hart Place,Company Owned,3035 Cropsey Ave,Brooklyn,NY,US,112242727,718-372-3573,GMT-05:00 America/New_York,-73.99,40.58,11224,0,0,1,0,1,1,0
20925,20925,Starbucks,7358-1369,Court St & Joralemon,Company Owned,50 Court Street,Brooklyn,NY,US,112014859,(718) 855-0369,GMT-05:00 America/New_York,-73.99,40.69,11201,0,0,0,0,1,1,0
20926,20926,Starbucks,11807-106578,Smith St & Wyckoff St,Company Owned,164 Smith Street,Brooklyn,NY,US,112016303,718-422-0178,GMT-05:00 America/New_York,-73.99,40.69,11201,0,0,0,0,1,1,0
20927,20927,Starbucks,19554-200744,164 Park Place,Company Owned,164 Park Place,Brooklyn,NY,US,11217,718-623-9419,GMT-05:00 America/New_York,-73.97,40.68,11217,0,0,1,1,0,0,0
20928,20928,Starbucks,17224-171944,1417 Kings Highway,Company Owned,1417 Kings Highway,Brooklyn,NY,US,112292003,718-627-1016,GMT-05:00 America/New_York,-73.96,40.61,11230,0,0,1,0,0,1,0
20929,20929,Starbucks,13983-114731,1971 86th Street,Company Owned,"1971 86th Street, Poly Tech Institute",Brooklyn,NY,US,112143103,718-266-1503,GMT-05:00 America/New_York,-74.0,40.61,11228,0,0,1,0,0,1,0
20930,20930,Starbucks,11809-106577,6 Metro Tech at Jay Street,Company Owned,6 Metro Tech,Brooklyn,NY,US,112013840,718-522-2396,GMT-05:00 America/New_York,-73.99,40.69,11201,0,0,0,0,1,1,0
20931,20931,Starbucks,23266-228865,Franklin Ave & Eastern Pkwy,Company Owned,341 Eastern Pkwy,Brooklyn,NY,US,11238,7187780140,GMT-05:00 America/New_York,-73.96,40.67,11238,0,0,0,0,0,0,0
20932,20932,Starbucks,11808-106389,514 86th St,Company Owned,514 86th Street,Brooklyn,NY,US,112095211,718-491-1340,GMT-05:00 America/New_York,-74.03,40.62,11209,0,0,1,0,0,1,0
20933,20933,Starbucks,9721-97945,33-42 Hillel Place,Company Owned,33-42 Hillel Place,Brooklyn,NY,US,112102902,718-338-2489,GMT-05:00 America/New_York,-73.95,40.63,11210,0,0,0,1,0,1,0
20934,20934,Starbucks,7921-91620,65th St & 18th Ave,Company Owned,6423 18th Avenue,Brooklyn,NY,US,112043710,718-234-7160,GMT-05:00 America/New_York,-73.99,40.62,11204,0,0,1,0,1,1,0
20935,20935,Starbucks,23267-228864,Caesar's Bay Shopping Center,Company Owned,8973 Bay Parkway,Brooklyn,NY,US,11214,7182651069,GMT-05:00 America/New_York,-74.0,40.6,11214,0,0,0,0,1,1,0
20936,20936,Starbucks,17727-179364,Barclays Center,Company Owned,"620 Atlantic Avenue, Fulton Mall",Brooklyn,NY,US,11217,7182300859,GMT-05:00 America/New_York,-73.98,40.68,11217,0,0,1,1,0,0,0
20937,20937,Starbucks,16608-169505,348 Fulton Street,Company Owned,348 Fulton Street,Brooklyn,NY,US,112015109,718 4881719,GMT-05:00 America/New_York,-73.99,40.69,11201,0,0,0,0,1,1,0
20938,20938,Starbucks,28114-237585,Target Brooklyn T-2850,Licensed,445 Gold St,Brooklyn,NY,US,11201,929-397-2864,GMT-05:00 America/New_York,-73.98,40.69,11217,0,0,1,1,0,0,0
20939,20939,Starbucks,25334-232868,Lam Group @ Sheraton Brooklyn,Licensed,228 Duffield st,Brooklyn,NY,US,11201,718-855-1900,GMT-05:00 America/New_York,-73.98,40.69,11217,0,0,1,1,0,0,0
20940,20940,Starbucks,9368-96106,Main St & Front St,Company Owned,67 Front Street,Brooklyn,NY,US,112011001,718-855-0856,GMT-05:00 America/New_York,-73.99,40.7,11201,0,0,0,0,1,1,0
20941,20941,Starbucks,23591-231287,Flatbush Ave & Kings Hwy,Company Owned,"1927 Flatbush Ave, Atlantic Terminal",Brooklyn,NY,US,11234,3475330430,GMT-05:00 America/New_York,-73.94,40.62,11210,0,0,0,1,0,1,0
20942,20942,Starbucks,7704-13119,Flatbush Ave Atlantic Terminal,Company Owned,"139 Flatbush Ave, N/A",Brooklyn,NY,US,112171450,718-789-3418,GMT-05:00 America/New_York,-73.98,40.68,11217,0,0,1,1,0,0,0
20943,20943,Starbucks,7646-27128,3rd Ave & 92nd St,Company Owned,9202 Third Avenue,Brooklyn,NY,US,112096812,718-492-5331,GMT-05:00 America/New_York,-74.03,40.62,11209,0,0,1,0,0,1,0
20944,20944,Starbucks,844-169565,134 Montague Street,Company Owned,134 Montague Street,Brooklyn,NY,US,112013533,7182430455,GMT-05:00 America/New_York,-73.99,40.69,11201,0,0,0,0,1,1,0
20945,20945,Starbucks,24401-237441,Gold St & Johnson Street,Company Owned,309 Gold St,Brooklyn,NY,US,11201,(347) 997-2633,GMT-05:00 America/New_York,-73.98,40.69,11217,0,0,1,1,0,0,0
20946,20946,Starbucks,13262-107296,910 Manhattan Avenue,Company Owned,910 Manhattan Avenue,Brooklyn,NY,US,112222107,718-609-0467,GMT-05:00 America/New_York,-73.95,40.73,11222,0,0,0,0,0,1,0
20947,20947,Starbucks,3438-93385,607 Brighton Beach Ave,Company Owned,607 Brighton Beach Avenue,Brooklyn,NY,US,112356405,718-934-3211,GMT-05:00 America/New_York,-73.96,40.58,11235,0,0,1,0,1,1,1
20948,20948,Starbucks,22596-222524,154 N Seventh St,Company Owned,154 N Seventh St,Brooklyn,NY,US,11211,7183840152,GMT-05:00 America/New_York,-73.96,40.72,11222,0,0,0,0,0,1,0
20949,20949,Starbucks,18858-191484,Union Ave & Ainslie St,Company Owned,405-409 Union Avenue,Brooklyn,NY,US,11211,7183846936,GMT-05:00 America/New_York,-73.95,40.71,11211,0,0,1,0,0,0,0
20950,20950,Starbucks,7441-1994,164 7th Avenue,Company Owned,166 7th Avenue,Brooklyn,NY,US,112152222,718-369-3098,GMT-05:00 America/New_York,-73.98,40.67,11215,0,0,0,0,1,1,0
20951,20951,Starbucks,15847-160724,Target Gateway T-1401,Licensed,519 Gateway Dr,Brooklyn,NY,US,112392801,718-235-6032,GMT-05:00 America/New_York,-73.87,40.65,11239,0,0,0,1,1,0,0
20952,20952,Starbucks,29856-255547,7th Ave and 9th St,Company Owned,444 Ninth St.,Brooklyn,NY,US,11215,9292148871,GMT-05:00 America/New_York,-73.98,40.67,11215,0,0,0,0,1,1,0
20953,20953,Starbucks,7381-1628,Elmwood Avenue,Company Owned,933 Elmwood Avenue,Buffalo,NY,US,142221211,(716) 882-5440,GMT-05:00 America/New_York,-78.88,42.92,14222,0,0,0,0,0,1,0
20954,20954,Starbucks,7799-63000,Delaware & Kenmore,Company Owned,2730 Delaware Avenue,Buffalo,NY,US,142161146,716-877-3800,GMT-05:00 America/New_York,-78.87,42.96,14216,0,0,1,1,1,0,0
20955,20955,Starbucks,29171-154526,Hyatt Buffalo,Licensed,"2 Fountain Plaza, Walden Galleria",Buffalo,NY,US,142022220,716-856-1234,GMT-05:00 America/New_York,-78.87,42.89,14204,0,0,0,0,0,0,0
20956,20956,Teavana,28439-249800,Teavana - Walden Galleria,Company Owned,"1 GALLERIA DRIVE, SPACE# L 117",BUFFALO,NY,US,14225,716-685-3100,GMT-05:00 America/New_York,-78.76,42.92,14225,1,0,0,1,0,1,0
20957,20957,Starbucks,7448-6486,235 Delaware Ave,Company Owned,"235 Delaware Avenue, Parkway Plaza",Buffalo,NY,US,142022008,716-853-2356,GMT-05:00 America/New_York,-78.88,42.89,14201,0,0,0,0,0,1,0
20958,20958,Starbucks,13353-105357,Canadaigua,Company Owned,10 Muar St.,Canandaigua,NY,US,144242321,585-394-6970,GMT-05:00 America/New_York,-77.26,42.88,14424,1,0,1,0,0,1,0
20959,20959,Starbucks,70083-139594,NY Chittenango Travel Plaza,Licensed,"2188 Tag Rd, Putnam Plaza",Canastota,NY,US,130324561,315-687-0015,GMT-05:00 America/New_York,-75.84,43.1,13032,0,0,0,0,0,1,0
20960,20960,Starbucks,7681-16774,"Carmel, Route 6",Company Owned,1876 Route 6,Carmel,NY,US,105122355,845-225-6900,GMT-05:00 America/New_York,-73.67,41.41,10512,0,0,0,0,0,1,0
20961,20961,Starbucks,11536-104610,"Rockaway Tpke, Cedarhurst",Company Owned,316 Rockaway Tpke.,Cedarhurst,NY,US,115161116,516-371-0238,GMT-05:00 America/New_York,-73.74,40.63,11516,0,0,0,0,1,0,0
20962,20962,Starbucks,15617-162705,Target South Setauket T-1191,Licensed,255 Pond Path,Centereach,NY,US,117202007,631-580-5356,GMT-05:00 America/New_York,-73.1,40.88,11720,1,0,1,1,1,0,1
20963,20963,Starbucks,7614-28547,Centereach,Company Owned,1942 Middle Country Road,Centereach,NY,US,117203535,(631) 585-8462,GMT-05:00 America/New_York,-73.08,40.86,11720,1,0,1,1,1,0,1
20964,20964,Starbucks,76582-96831,Target Central Islip T-2102,Licensed,"160 N Research Pl, Woodbury Common Premium Outlet",Central Islip,NY,US,117224458,631-297-2011,GMT-05:00 America/New_York,-73.2,40.77,11722,0,0,0,1,1,0,0
20965,20965,Starbucks,7518-12871,Woodbury Commons,Company Owned,"400 Evergreen Ct, Route 22",Central Valley,NY,US,109176700,845-928-4744,GMT-05:00 America/New_York,-74.13,41.32,10917,0,0,0,0,0,0,0
20966,20966,Starbucks,7326-597,Chappaqua,Company Owned,2 South Greeley Avenue,Chappaqua,NY,US,105143311,(914) 238-2268,GMT-05:00 America/New_York,-73.77,41.16,10514,0,0,0,0,0,1,0
20967,20967,Starbucks,27530-244211,Target Cheektowaga T- 1014,Licensed,1750 Walden Avenue,Cheektowaga,NY,US,14225,716-896-0493,GMT-05:00 America/New_York,-78.77,42.91,14225,1,0,0,1,0,1,0
20968,20968,Starbucks,7949-95619,Walden & Anderson,Company Owned,"1775 Walden Avenue, 500",Cheektowaga,NY,US,142254920,716-895-0380,GMT-05:00 America/New_York,-78.77,42.91,14225,1,0,0,1,0,1,0
20969,20969,Starbucks,7879-194264,Walden Galleria,Company Owned,"1 Walden Galleria, K-04",Cheektowaga,NY,US,142255408,7166850791,GMT-05:00 America/New_York,-78.76,42.91,14225,1,0,0,1,0,1,0
20970,20970,Starbucks,23917-234085,Cheektowaga,Company Owned,"4255 Genesee St., Suite 100",Cheektowaga,NY,US,14225,17162630910,GMT-05:00 America/New_York,-78.73,42.93,14225,1,0,0,1,0,1,0
20971,20971,Starbucks,76763-100175,Target Cicero T-2295,Licensed,8061 Brewerton Rd,Cicero,NY,US,130398061,315-452-1321,GMT-05:00 America/New_York,-76.12,43.16,13212,0,0,0,0,0,1,0
20972,20972,Starbucks,17376-180584,Target Clay T-1475,Licensed,3857 State Route 31,Clay,NY,US,13041,585-652-5157,GMT-05:00 America/New_York,-76.23,43.19,13041,0,0,0,0,0,0,0
20973,20973,Starbucks,7664-233944,Clifton Park Center,Company Owned,"309 Clifton Park Center Road, Store #1",Clifton Park,NY,US,12065,5183735794,GMT-05:00 America/New_York,-73.78,42.86,12065,1,0,1,1,1,1,0
20974,20974,Starbucks,24840-229888,Price Chopper - Clifton Park  #112,Licensed,15 Park Ave,Clifton Park,NY,US,12065,418-383-6780,GMT-05:00 America/New_York,-73.78,42.86,12065,1,0,1,1,1,1,0
20975,20975,Starbucks,19911-202866,Target Clifton Park T-1477,Licensed,26 Crossing Blvd,Clifton Park,NY,US,12065,518-371-6520,GMT-05:00 America/New_York,-73.77,42.86,12065,1,0,1,1,1,1,0
20976,20976,Starbucks,75888-103954,NY Clifton Springs Travel Plaza,Licensed,3236 Route 96,Clifton Springs,NY,US,144329505,315-462-9755,GMT-05:00 America/New_York,-77.17,42.97,14504,0,0,0,0,0,0,0
20977,20977,Starbucks,2783-88801,"Commack, Crooked Hill",Company Owned,125 Crooked Hill Road,Commack,NY,US,117255429,631-858-0167,GMT-05:00 America/New_York,-73.29,40.81,11725,1,0,1,1,1,1,0
20978,20978,Starbucks,11811-104574,"Jericho Tpke, Commack",Company Owned,2055A Jericho Tpke,Commack,NY,US,117253007,631-543-0140,GMT-05:00 America/New_York,-73.27,40.85,11725,1,0,1,1,1,1,0
20979,20979,Starbucks,15620-162704,Target Commack T-1108,Licensed,98 Veterans Memorial Hwy,Commack,NY,US,117253432,631-462-8969,GMT-05:00 America/New_York,-73.29,40.84,11725,1,0,1,1,1,1,0
20980,20980,Starbucks,27517-243605,Target Commack T-1387,Licensed,4 Henry Street,Commack,NY,US,11725,631-461-5507,GMT-05:00 America/New_York,-73.29,40.81,11725,1,0,1,1,1,1,0
20981,20981,Starbucks,20102-145447,Target Copiague T-1147,Licensed,1149 Sunrise Hwy,Copiague,NY,US,117261330,631-841-5056,GMT-05:00 America/New_York,-73.41,40.69,11701,0,0,1,0,1,0,1
